alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l1,perceptron,0.75,True,0.7578947368421053,0.6557377049180327,0.6153846153846154,0.634920634920635,104,25,21,40
0.0001,l1,squared_loss,0.15,False,0.6894736842105263,0.5306122448979592,0.8,0.638036809815951,79,13,46,52
0.0001,l1,squared_loss,0.15,True,0.7052631578947368,0.8,0.18461538461538463,0.3,122,53,3,12
0.0001,l1,squared_loss,0.3,False,0.6684210526315789,0.75,0.046153846153846156,0.08695652173913043,124,62,1,3
0.0001,l1,squared_loss,0.3,True,0.7315789473684211,0.7692307692307693,0.3076923076923077,0.4395604395604395,119,45,6,20
0.0001,l1,squared_loss,0.45,False,0.7105263157894737,0.7777777777777778,0.2153846153846154,0.3373493975903615,121,51,4,14
0.0001,l1,squared_loss,0.45,True,0.7421052631578947,0.7857142857142857,0.3384615384615385,0.4731182795698925,119,43,6,22
0.0001,l1,squared_loss,0.6,False,0.7263157894736842,0.8095238095238095,0.26153846153846155,0.39534883720930236,121,48,4,17
0.0001,l1,squared_loss,0.6,True,0.7210526315789474,0.6111111111111112,0.5076923076923077,0.5546218487394958,104,32,21,33
0.0001,l1,squared_loss,0.75,False,0.3526315789473684,0.34408602150537637,0.9846153846153847,0.5099601593625498,3,1,122,64
0.0001,l1,squared_loss,0.75,True,0.7,0.54,0.8307692307692308,0.6545454545454545,79,11,46,54
0.0001,l1,huber,0.15,False,0.7631578947368421,0.7631578947368421,0.4461538461538462,0.5631067961165048,116,36,9,29
0.0001,l1,huber,0.15,True,0.7631578947368421,0.75,0.46153846153846156,0.5714285714285714,115,35,10,30
0.0001,l1,huber,0.3,False,0.7578947368421053,0.6610169491525424,0.6,0.6290322580645161,105,26,20,39
0.0001,l1,huber,0.3,True,0.7368421052631579,0.8,0.3076923076923077,0.4444444444444444,120,45,5,20
0.0001,l1,huber,0.45,False,0.7631578947368421,0.6785714285714286,0.5846153846153846,0.6280991735537191,107,27,18,38
0.0001,l1,huber,0.45,True,0.7526315789473684,0.625,0.6923076923076923,0.6569343065693432,98,20,27,45
0.0001,l1,huber,0.6,False,0.7736842105263158,0.7619047619047619,0.49230769230769234,0.5981308411214953,115,33,10,32
0.0001,l1,huber,0.6,True,0.7263157894736842,0.76,0.2923076923076923,0.4222222222222222,119,46,6,19
0.0001,l1,huber,0.75,False,0.7684210526315789,0.6909090909090909,0.5846153846153846,0.6333333333333333,108,27,17,38
0.0001,l1,huber,0.75,True,0.7263157894736842,0.782608695652174,0.27692307692307694,0.4090909090909091,120,47,5,18
0.0001,l1,epsilon_insensitive,0.15,False,0.7526315789473684,0.7368421052631579,0.4307692307692308,0.5436893203883496,115,37,10,28
0.0001,l1,epsilon_insensitive,0.15,True,0.6631578947368421,0.6666666666666666,0.03076923076923077,0.05882352941176471,124,63,1,2
0.0001,l1,epsilon_insensitive,0.3,False,0.6894736842105263,0.65,0.2,0.30588235294117644,118,52,7,13
0.0001,l1,epsilon_insensitive,0.3,True,0.6263157894736842,0.4745762711864407,0.8615384615384616,0.6120218579234973,63,9,62,56
0.0001,l1,epsilon_insensitive,0.45,False,0.3894736842105263,0.3575418994413408,0.9846153846153847,0.5245901639344263,10,1,115,64
0.0001,l1,epsilon_insensitive,0.45,True,0.6631578947368421,0.6666666666666666,0.03076923076923077,0.05882352941176471,124,63,1,2
0.0001,l1,epsilon_insensitive,0.6,False,0.6789473684210526,0.75,0.09230769230769231,0.16438356164383564,123,59,2,6
0.0001,l1,epsilon_insensitive,0.6,True,0.6894736842105263,0.5294117647058824,0.8307692307692308,0.6467065868263473,77,11,48,54
0.0001,l1,epsilon_insensitive,0.75,False,0.6947368421052632,0.8888888888888888,0.12307692307692308,0.21621621621621623,124,57,1,8
0.0001,l1,epsilon_insensitive,0.75,True,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l1,squared_epsilon_insensitive,0.15,False,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l1,squared_epsilon_insensitive,0.15,True,0.6684210526315789,0.75,0.046153846153846156,0.08695652173913043,124,62,1,3
0.0001,l1,squared_epsilon_insensitive,0.3,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
